Ssn,TestTrial,Cond,Order,Study2Trial,Cue,Target,Resp,Corr,RT,BlockNum,RespType,nCorr,NoRec,Incorr,SimpleResp,Expt
24,6,1,1,14,73,factor,factors,0,7.266,2,2,1,0,0,1,1
24,7,2,1,15,180,theater,theater,1,4.656,2,1,1,0,0,1,1
24,8,1,2,6,167,might,might,1,6.078,2,1,1,0,0,1,1
24,9,2,2,8,27,apply,no.,0,9.171,2,8,0,1,0,8,1
24,10,1,2,13,33,increase,no.,0,5.25,2,8,0,1,0,8,1
24,11,2,1,3,88,material,no.,0,4.938,2,8,0,1,0,8,1
24,12,2,2,16,61,actual,no.,0,4.437,2,8,0,1,0,8,1
24,13,1,2,10,98,drink,drink,1,4,2,1,1,0,0,1,1
24,14,1,2,12,13,gave,gave,1,8.375,2,1,1,0,0,1,1
24,15,2,1,1,63,interested,no.,0,4.063,2,8,0,1,0,8,1
24,16,2,2,2,177,enough,no.,0,10.844,2,8,0,1,0,8,1
25,1,2,1,15,143,issued,no,2,9.063,2,8,0,1,0,8,1
25,2,2,1,16,104,group,group,1,2.688,2,1,1,0,0,1,1
25,3,2,2,4,171,chapter,chapter,1,4.921,2,1,1,0,0,1,1
25,4,1,2,3,135,economic,mass,0,5.484,2,5,0,0,1,3,1
25,5,1,2,8,146,membership,group,0,5.656,2,5,0,0,1,3,1
25,6,1,1,6,28,brought,no,2,4.578,2,8,0,1,0,8,1
25,7,2,2,1,165,ancient,no,2,1.937,2,8,0,1,0,8,1
25,8,2,1,9,133,mass,mass,1,1.578,2,1,1,0,0,1,1
25,9,1,1,11,5,third,mass,0,2.375,2,5,0,0,1,3,1
25,10,1,2,12,36,earlier,group,0,2.297,2,5,0,0,1,3,1
25,11,2,1,2,162,powers,no,2,1.532,2,8,0,1,0,8,1
25,12,1,2,5,9,says,no,2,0.688,2,8,0,1,0,8,1
25,13,2,2,7,85,ball,no,2,1.11,2,8,0,1,0,8,1
25,14,1,1,10,138,dozen,chapter,0,1.734,2,5,0,0,1,3,1
25,15,1,1,13,87,thin,no,2,2.985,2,8,0,1,0,8,1
25,16,2,2,14,2,honor,no,2,0.672,2,8,0,1,0,8,1
26,1,2,1,14,73,combination,chain,0,14.45,2,4,0,0,1,3,1
26,2,1,1,2,137,chest,no,2,8.353,2,8,0,1,0,8,1
26,3,1,2,4,85,human,human,1,3.753,2,1,1,0,0,1,1
26,4,2,1,10,134,previously,alone,0,4.185,2,4,0,0,1,3,1
26,5,1,2,13,142,heat,chest,0,3.25,2,3,0,0,1,3,1
26,6,1,1,16,51,yellow,yellow,1,2.258,2,1,1,0,0,1,1
26,7,2,1,7,130,planned,fill,0,4.505,2,4,0,0,1,3,1
26,8,2,2,8,52,moral,yellow,0,4.682,2,4,0,0,1,3,1
26,9,2,2,11,57,available,available,1,4.089,2,1,1,0,0,1,1
26,10,2,2,3,56,paid,paid,1,2.506,2,1,1,0,0,1,1
26,11,1,1,5,90,chain,fill,0,5.761,2,4,0,0,1,3,1
26,12,2,1,1,113,island,island,1,3.426,2,1,1,0,0,1,1
26,13,1,2,12,165,fill,fill,1,3.778,2,1,1,0,0,1,1
26,14,1,1,15,45,alone,yellow,0,5.977,2,4,0,0,1,3,1
26,15,1,2,6,96,helped,no,2,4.074,2,8,0,1,0,8,1
26,16,2,2,9,132,apply,lead,0,1.819,2,6,0,0,1,3,1
27,1,1,2,3,81,philosophy,no,2,11.703,2,8,0,1,0,8,1
27,2,1,1,13,28,worse,no,2,7.766,2,8,0,1,0,8,1
27,3,2,1,14,120,door,no,2,1.829,2,8,0,1,0,8,1
27,4,2,2,15,104,drink,drinking,0,6.328,2,2,1,0,0,1,1
27,5,2,2,16,161,meet,meet,1,2.187,2,1,1,0,0,1,1
27,6,2,1,10,158,factor,no,2,4.703,2,8,0,1,0,8,1
27,7,2,2,7,127,corps,corps,1,4.188,2,1,1,0,0,1,1
27,8,1,1,2,32,council,no,2,3.062,2,8,0,1,0,8,1
27,9,1,2,4,156,senate,senate,1,2.172,2,1,1,0,0,1,1
27,10,1,2,6,67,tomorrow,no,2,3.704,2,8,0,1,0,8,1
27,11,2,1,5,76,liked,no,2,7.047,2,8,0,1,0,8,1
27,12,1,1,1,47,writer,no,2,1.703,2,8,0,1,0,8,1
27,13,1,1,11,65,pull,no,2,10.359,2,8,0,1,0,8,1
27,14,1,2,8,105,appeal,writer,0,4.25,2,3,0,0,1,3,1
27,15,2,2,9,157,fight,no,2,5.235,2,8,0,1,0,8,1
27,16,2,1,12,71,anything,anything,1,10.875,2,1,1,0,0,1,1
28,1,1,2,3,45,increase,no,2,14.375,2,8,0,1,0,8,1
28,2,2,1,4,207,reach,no,2,5.25,2,8,0,1,0,8,1
28,3,1,2,8,176,achieve,basis,0,7.11,2,4,0,0,1,3,1
28,4,1,1,14,177,basis,,0,6.938,2,8,0,1,0,8,1
28,5,2,2,7,201,learned,,0,2.078,2,8,0,1,0,8,1
28,6,2,1,11,183,middle,increase,0,6.688,2,4,0,0,1,3,1
28,7,2,2,5,34,musical,,0,11.812,2,8,0,1,0,8,1
28,8,1,1,2,75,armed,no,2,4.297,2,8,0,1,0,8,1
28,9,1,1,10,49,need,no,2,3.625,2,8,0,1,0,8,1
28,10,1,2,13,166,minor,no,2,3.875,2,8,0,1,0,8,1
28,11,2,2,15,203,captain,captain,1,5.109,2,1,1,0,0,1,1
28,12,2,1,16,205,murder,murder,1,3.454,2,1,1,0,0,1,1
28,13,2,1,6,64,identity,race,0,12.86,2,7,0,0,1,3,1
28,14,1,2,9,59,moving,no,2,2.688,2,8,0,1,0,8,1
28,15,2,2,1,170,highest,no,2,8.625,2,8,0,1,0,8,1
28,16,1,1,12,145,help,help,1,4.484,2,1,1,0,0,1,1
29,1,1,1,9,4,earlier,no,2,7.239,2,8,0,1,0,8,1
29,2,2,1,11,98,role,cases,0,4.752,2,6,0,0,1,3,1
29,3,1,1,5,168,shown,shown,1,1.951,2,1,1,0,0,1,1
29,4,2,2,3,204,argument,no,2,7.703,2,8,0,1,0,8,1
29,5,1,2,1,203,list,no,2,2.504,2,8,0,1,0,8,1
29,6,2,2,12,114,sight,sight,1,3.68,2,1,1,0,0,1,1
29,7,1,2,14,198,rose,rose,1,1.8,2,1,1,0,0,1,1
29,8,1,1,16,128,sign,no,2,3.575,2,8,0,1,0,8,1
29,9,1,2,15,194,danger,danger,1,3.112,2,1,1,0,0,1,1
29,10,2,1,10,146,neck,no,2,3.208,2,8,0,1,0,8,1
29,11,2,2,13,207,gross,no,2,2.281,2,8,0,1,0,8,1
29,12,2,1,7,206,church,church,1,1.911,2,1,1,0,0,1,1
29,13,2,2,2,190,named,study,0,5.559,2,7,0,0,1,3,1
29,14,1,1,4,177,plays,no,2,1.96,2,8,0,1,0,8,1
29,15,2,1,6,196,afraid,scared,0,6.048,2,7,0,0,1,3,1
29,16,1,2,8,108,final,no,2,2.319,2,8,0,1,0,8,1
30,1,1,1,15,111,send,sent,0,13.188,2,2,1,0,0,1,1
30,2,1,2,7,153,hill,hill,1,4.281,2,1,1,0,0,1,1
30,3,2,1,5,194,girl,girl,1,4.109,2,1,1,0,0,1,1
30,4,1,2,13,11,someone,someone,1,5.25,2,1,1,0,0,1,1
30,5,1,1,1,168,gain,no,2,7.688,2,8,0,1,0,8,1
30,6,2,2,8,34,hall,hall,1,5.234,2,1,1,0,0,1,1
30,7,2,2,10,63,gross,gross,1,3.219,2,1,1,0,0,1,1
30,8,1,1,14,67,ages,ages,1,4.578,2,1,1,0,0,1,1
30,9,2,2,16,158,created,send,0,6.5,2,4,0,0,1,3,1
30,10,2,1,11,149,accept,someone,0,5.422,2,4,0,0,1,3,1
30,11,1,2,6,126,finds,doing,0,8.312,2,4,0,0,1,3,1
30,12,1,2,2,16,moving,moving,1,9.844,2,1,1,0,0,1,1
30,13,1,1,3,19,doing,hall,0,6.344,2,5,0,0,1,3,1
30,14,2,1,4,103,fort,no,2,3.485,2,8,0,1,0,8,1
30,15,2,1,9,164,occurred,ages,0,7.157,2,4,0,0,1,3,1
30,16,2,2,12,189,draw,no,2,2.453,2,8,0,1,0,8,1
31,1,2,1,14,1,daughter,daughter,1,10.422,2,1,1,0,0,1,1
31,2,2,1,6,76,wood,wood,1,2.688,2,1,1,0,0,1,1
31,3,2,2,15,45,fashion,fashion,1,3.578,2,1,1,0,0,1,1
31,4,1,1,7,111,help,no,2,6.141,2,8,0,1,0,8,1
31,5,1,2,5,71,moral,moral,1,2.687,2,1,1,0,0,1,1
31,6,1,2,8,130,chemical,no,2,3.016,2,8,0,1,0,8,1
31,7,2,1,1,203,cutting,chemical,0,5.765,2,4,0,0,1,3,1
31,8,2,1,4,204,sexual,no,2,3.328,2,8,0,1,0,8,1
31,9,1,1,3,136,lose,no,2,1.954,2,8,0,1,0,8,1
31,10,2,2,11,143,range,no,2,2.547,2,8,0,1,0,8,1
31,11,1,1,16,139,flesh,flesh,1,2.266,2,1,1,0,0,1,1
31,12,1,2,9,16,scene,no,2,3.781,2,8,0,1,0,8,1
31,13,1,2,10,108,female,no,2,1.859,2,8,0,1,0,8,1
31,14,2,2,13,10,worked,worked,1,2.625,2,1,1,0,0,1,1
31,15,2,2,12,208,windows,no,2,1.547,2,8,0,1,0,8,1
31,16,1,1,2,78,church,church,1,2.937,2,1,1,0,0,1,1
32,1,2,1,2,42,asking,picture,0,10.281,2,4,0,0,1,3,1
32,2,1,2,15,10,suggest,suggest,1,4.406,2,1,1,0,0,1,1
32,3,2,1,16,118,putting,being,0,6.296,2,5,0,0,1,3,1
32,4,1,2,11,102,spread,spread,1,2.672,2,1,1,0,0,1,1
32,5,1,2,6,207,seeing,metal,0,2.703,2,3,0,0,1,3,1
32,6,2,1,10,209,gain,gain,1,1.844,2,1,1,0,0,1,1
32,7,1,1,12,203,picture,picture,1,8.422,2,1,1,0,0,1,1
32,8,2,2,4,210,farm,game,0,11.657,2,4,0,0,1,3,1
32,9,2,2,3,103,little,short,0,6.235,2,7,0,0,1,3,1
32,10,1,2,1,29,game,no,2,4.11,2,8,0,1,0,8,1
32,11,2,1,5,23,growth,picture,0,13.141,2,4,0,0,1,3,1
32,12,2,2,7,55,address,no,2,11.093,2,8,0,1,0,8,1
32,13,1,1,8,208,metal,metal,1,4.64,2,1,1,0,0,1,1
32,14,1,1,13,39,problems,problems,1,5.235,2,1,1,0,0,1,1
32,15,2,2,14,21,being,no,2,4.125,2,8,0,1,0,8,1
32,16,1,1,9,22,impact,no,2,5.406,2,8,0,1,0,8,1
33,1,1,1,9,116,wheel,walked,0,6,2,3,0,0,1,3,1
33,2,1,2,10,110,fixed,no,2,12.125,2,8,0,1,0,8,1
33,3,1,1,13,81,created,created,1,2.578,2,1,1,0,0,1,1
33,4,1,2,16,108,wild,wild,1,3.016,2,1,1,0,0,1,1
33,5,1,2,3,119,walked,no,2,6.547,2,8,0,1,0,8,1
33,6,1,1,4,137,cold,campaign,0,7.406,2,3,0,0,1,3,1
33,7,2,2,6,153,strength,strength,1,5.578,2,1,1,0,0,1,1
33,8,2,2,12,75,bridge,bridge,1,5.047,2,1,1,0,0,1,1
33,9,2,1,5,145,motor,beach,0,2.609,2,5,0,0,1,3,1
33,10,2,1,11,128,beach,beach,1,2.813,2,1,1,0,0,1,1
33,11,2,1,14,41,necessarily,no,2,2.734,2,8,0,1,0,8,1
33,12,2,1,7,55,meant,motor,0,7.281,2,5,0,0,1,3,1
33,13,2,2,15,95,chair,no,2,3.406,2,8,0,1,0,8,1
33,14,1,1,1,16,justice,no,2,1.813,2,8,0,1,0,8,1
33,15,1,2,2,120,campaign,no,2,2.328,2,8,0,1,0,8,1
33,16,2,2,8,3,mention,no,2,2.109,2,8,0,1,0,8,1
34,1,1,2,7,84,hole,parent,0,4.631,2,7,0,0,1,3,1
34,2,1,2,8,106,service,no,2,9.888,2,8,0,1,0,8,1
34,3,1,1,5,5,assume,hole,0,3.047,2,3,0,0,1,3,1
34,4,2,2,11,126,birds,no,2,3.232,2,8,0,1,0,8,1
34,5,2,2,10,138,church,no,2,3.159,2,8,0,1,0,8,1
34,6,1,1,12,123,start,no,2,21.991,2,8,0,1,0,8,1
34,7,2,1,13,54,court,court,1,4.256,2,1,1,0,0,1,1
34,8,2,1,14,42,annual,no,2,2.103,2,8,0,1,0,8,1
34,9,2,2,15,2,depth,no,2,6.567,2,8,0,1,0,8,1
34,10,2,1,16,26,enemy,no,2,1.72,2,8,0,1,0,8,1
34,11,2,1,9,131,bear,bear,1,2.367,2,1,1,0,0,1,1
34,12,2,2,1,92,actually,no,2,1.943,2,8,0,1,0,8,1
34,13,1,1,2,90,parents,parent,0,4.136,2,2,1,0,0,1,1
34,14,1,1,3,109,spirit,spirit,1,7.584,2,1,1,0,0,1,1
34,15,1,2,4,127,clearly,no,2,8.447,2,8,0,1,0,8,1
34,16,1,2,6,122,largest,big,0,6.175,2,7,0,0,1,3,1
35,1,1,2,2,96,sources,sources,1,17.969,2,1,1,0,0,1,1
35,2,1,1,15,80,role,role,1,4.656,2,1,1,0,0,1,1
35,3,1,2,16,109,spring,spring,1,2.641,2,1,1,0,0,1,1
35,4,1,2,10,60,calls,calls,1,2.813,2,1,1,0,0,1,1
35,5,1,1,6,104,passing,passing,1,2.625,2,1,1,0,0,1,1
35,6,2,2,13,159,session,session,1,2.875,2,1,1,0,0,1,1
35,7,1,1,4,131,long,long,1,2.672,2,1,1,0,0,1,1
35,8,1,2,14,108,knowing,knowing,1,6.656,2,1,1,0,0,1,1
35,9,2,2,5,15,drink,drink,1,2.172,2,1,1,0,0,1,1
35,10,2,1,8,102,nobody,nobody,1,4.891,2,1,1,0,0,1,1
35,11,2,1,12,152,runs,runs,1,5.312,2,1,1,0,0,1,1
35,12,2,1,3,68,jazz,jazz,1,1.922,2,1,1,0,0,1,1
35,13,2,1,7,17,moment,moment,1,6.469,2,1,1,0,0,1,1
35,14,2,2,9,117,being,being,1,4.735,2,1,1,0,0,1,1
35,15,1,1,1,128,soft,no\,0,9.89,2,8,0,1,0,8,1
35,16,2,2,11,58,chief,chief,1,2.563,2,1,1,0,0,1,1
36,1,1,1,12,121,tomorrow,tomorrow,1,9.375,2,1,1,0,0,1,1
36,2,2,1,13,32,influence,no,2,19.187,2,8,0,1,0,8,1
36,3,2,2,15,64,appeal,handsome,0,9.328,2,7,0,0,1,3,1
36,4,2,2,3,66,struggle,animal,0,6.484,2,5,0,0,1,3,1
36,5,1,2,10,92,traffic,traffic,1,3.547,2,1,1,0,0,1,1
36,6,1,2,8,163,meant,meant,1,2.719,2,1,1,0,0,1,1
36,7,1,1,9,102,mention,accident,0,10.515,2,7,0,0,1,3,1
36,8,2,1,16,63,animal,animal,1,2.688,2,1,1,0,0,1,1
36,9,2,2,1,35,spring,no,2,3.562,2,8,0,1,0,8,1
36,10,2,1,2,77,religion,civil,0,3.844,2,7,0,0,1,3,1
36,11,2,1,4,86,stone,pot,0,17.266,2,7,0,0,1,3,1
36,12,1,2,5,106,built,tomorrow,0,8.234,2,3,0,0,1,3,1
36,13,1,1,7,23,thing,built,0,7.406,2,3,0,0,1,3,1
36,14,1,1,11,99,fairly,no,2,2.547,2,8,0,1,0,8,1
36,15,1,2,14,145,goal,success,0,13.266,2,7,0,0,1,3,1
36,16,2,2,6,118,hills,no,2,5.547,2,8,0,1,0,8,1
37,1,2,2,13,44,raise,moral,0,5.641,2,5,0,0,1,3,1
37,2,1,1,11,130,object,object,1,10.891,2,1,1,0,0,1,1
37,3,1,2,2,112,snow,snow,1,3.859,2,1,1,0,0,1,1
37,4,2,2,9,150,stay,army,0,3.484,2,4,0,0,1,3,1
37,5,2,2,10,106,moral,moral,1,2.407,2,1,1,0,0,1,1
37,6,1,2,12,151,housing,housing,1,2.922,2,1,1,0,0,1,1
37,7,2,1,7,136,free,free,1,1.984,2,1,1,0,0,1,1
37,8,1,1,14,148,shot,snow,0,2.25,2,3,0,0,1,3,1
37,9,2,2,6,71,spring,spring,1,2.516,2,1,1,0,0,1,1
37,10,1,2,15,193,claim,housing,0,25.296,2,4,0,0,1,3,1
37,11,1,1,16,96,clay,moral,0,5.11,2,5,0,0,1,3,1
37,12,2,1,5,90,spirit,free,0,4.312,2,5,0,0,1,3,1
37,13,2,1,8,16,minor,minor,1,8.235,2,1,1,0,0,1,1
37,14,2,1,3,127,speech,moral,0,4.656,2,5,0,0,1,3,1
37,15,1,2,4,157,army,army,1,2.781,2,1,1,0,0,1,1
37,16,1,1,1,110,heart,speak,0,3.297,2,7,0,0,1,3,1
38,1,2,1,4,74,fear,atmosphere,0,13.711,2,5,0,0,1,3,1
38,2,1,2,11,210,feed,feed,1,4.55,2,1,1,0,0,1,1
38,3,2,2,15,172,examples,example,0,11.982,2,2,1,0,0,1,1
38,4,1,1,2,44,firms,lives,0,2.591,2,4,0,0,1,3,1
38,5,1,2,9,206,lives,lives,1,2.543,2,1,1,0,0,1,1
38,6,1,2,8,43,turning,trip,0,6.583,2,4,0,0,1,3,1
38,7,1,1,10,209,faculty,faculty,1,5.351,2,1,1,0,0,1,1
38,8,2,2,1,136,girls,girls,1,5.112,2,1,1,0,0,1,1
38,9,2,2,3,114,greater,greater,1,1.896,2,1,1,0,0,1,1
38,10,1,2,7,207,systems,going,0,3.559,2,5,0,0,1,3,1
38,11,2,1,12,163,going,going,1,2.392,2,1,1,0,0,1,1
38,12,2,1,5,164,atmosphere,no,2,6.623,2,8,0,1,0,8,1
38,13,2,2,13,64,attitude,attitude,1,2.095,2,1,1,0,0,1,1
38,14,2,1,16,168,began,no,2,5.48,2,8,0,1,0,8,1
38,15,1,1,6,208,trip,trip,1,3.399,2,1,1,0,0,1,1
38,16,1,1,14,55,forward,firm,0,2.863,2,7,0,0,1,3,1
39,1,1,2,2,125,situations,no,2,8.578,2,8,0,1,0,8,1
39,2,1,1,1,146,shoulder,waiting,0,3.875,2,4,0,0,1,3,1
39,3,1,2,4,137,stayed,no,2,2.797,2,8,0,1,0,8,1
39,4,2,2,10,92,beach,beach,1,4.094,2,1,1,0,0,1,1
39,5,1,1,7,108,waiting,waiting,1,1.515,2,1,1,0,0,1,1
39,6,2,2,11,196,experienced,experienced,1,2.484,2,1,1,0,0,1,1
39,7,2,1,13,42,giving,no,2,1.672,2,8,0,1,0,8,1
39,8,2,2,14,158,growth,tall,0,3.469,2,7,0,0,1,3,1
39,9,2,2,16,160,aside,no,2,2.265,2,8,0,1,0,8,1
39,10,1,2,3,132,trip,no,2,1.563,2,8,0,1,0,8,1
39,11,1,2,6,147,mention,no,2,0.906,2,8,0,1,0,8,1
39,12,2,1,8,148,quiet,no,2,2.922,2,8,0,1,0,8,1
39,13,2,1,9,194,meet,no,2,1.407,2,8,0,1,0,8,1
39,14,1,1,5,81,agencies,trip,0,7.203,2,3,0,0,1,3,1
39,15,2,1,12,195,duty,no,2,1.11,2,8,0,1,0,8,1
39,16,1,1,15,178,someone,no,2,1.563,2,8,0,1,0,8,1
40,1,1,2,16,71,different,different,1,11.282,2,1,1,0,0,1,1
40,2,1,2,4,172,fully,chair,0,7.546,2,3,0,0,1,3,1
40,3,2,1,7,107,independent,independant,0,4.922,2,2,1,0,0,1,1
40,4,2,1,9,173,liked,no,2,4.844,2,8,0,1,0,8,1
40,5,2,2,11,175,obvious,study,0,10.375,2,7,0,0,1,3,1
40,6,2,2,6,136,alone,no,2,5.594,2,8,0,1,0,8,1
40,7,2,1,3,24,marriage,marriage,1,2.578,2,1,1,0,0,1,1
40,8,2,2,13,46,look,no,2,1.984,2,8,0,1,0,8,1
40,9,1,2,1,137,ends,no,2,1.344,2,8,0,1,0,8,1
40,10,1,1,2,6,finding,no,2,2.609,2,8,0,1,0,8,1
40,11,2,1,10,139,attorney,no,2,2.578,2,8,0,1,0,8,1
40,12,1,2,5,171,somewhere,no,2,2.438,2,8,0,1,0,8,1
40,13,2,2,8,155,gross,ugly,0,3.25,2,7,0,0,1,3,1
40,14,1,1,12,47,chair,no,2,1.922,2,8,0,1,0,8,1
40,15,1,1,14,20,brief,no,2,1.046,2,8,0,1,0,8,1
40,16,1,1,15,119,situations,no,2,2.407,2,8,0,1,0,8,1
41,1,2,1,15,106,holding,risk,0,12.906,2,4,0,0,1,3,1
41,2,1,1,2,62,cold,risk,0,4.391,2,3,0,0,1,3,1
41,3,2,1,7,141,meant,boat,0,5.578,2,4,0,0,1,3,1
41,4,2,1,8,69,deep,no,2,13.422,2,8,0,1,0,8,1
41,5,1,2,4,87,miles,miles,1,2.609,2,1,1,0,0,1,1
41,6,1,2,3,168,risk,boat,0,4.234,2,3,0,0,1,3,1
41,7,1,2,5,104,hung,hung,1,2.125,2,1,1,0,0,1,1
41,8,1,1,11,126,exist,no,2,16.219,2,8,0,1,0,8,1
41,9,2,2,6,43,give,give,1,4.047,2,1,1,0,0,1,1
41,10,2,2,13,26,rule,no,2,4.422,2,8,0,1,0,8,1
41,11,1,1,12,45,explain,no,2,6.703,2,8,0,1,0,8,1
41,12,2,1,14,100,songs,no,2,5.594,2,8,0,1,0,8,1
41,13,2,2,16,180,stayed,no,2,7.937,2,8,0,1,0,8,1
41,14,1,2,1,124,combination,no,2,1.703,2,8,0,1,0,8,1
41,15,2,2,9,150,chapter,no,2,1.578,2,8,0,1,0,8,1
41,16,1,1,10,8,boat,uneven,0,10.235,2,7,0,0,1,3,1
42,1,2,1,12,55,grew,grew,1,17.235,2,1,1,0,0,1,1
42,2,2,1,15,78,doctor,doctor,1,7.094,2,1,1,0,0,1,1
42,3,1,1,16,194,miles,miles,1,2.375,2,1,1,0,0,1,1
42,4,1,2,6,193,church,church,1,15.719,2,1,1,0,0,1,1
42,5,1,2,8,154,eyes,eyes,1,1.859,2,1,1,0,0,1,1
42,6,2,2,7,97,serious,serious,1,6.937,2,1,1,0,0,1,1
42,7,1,1,10,186,lives,lives,1,3.812,2,1,1,0,0,1,1
42,8,2,2,11,112,dance,dance,1,2.891,2,1,1,0,0,1,1
42,9,2,2,5,153,actually,ought,0,4.641,2,4,0,0,1,3,1
42,10,1,1,2,64,park,build,0,4.094,2,3,0,0,1,3,1
42,11,1,2,3,32,ought,arms,0,3.75,2,6,0,0,1,3,1
42,12,1,1,13,81,born,eyes,0,4.594,2,3,0,0,1,3,1
42,13,1,2,14,35,build,no,2,11.218,2,8,0,1,0,8,1
42,14,2,1,4,134,occurred,no,2,3.703,2,8,0,1,0,8,1
42,15,2,1,9,74,explain,doctor,0,6.734,2,5,0,0,1,3,1
42,16,2,2,1,140,keeping,no,2,3.625,2,8,0,1,0,8,1
43,1,2,2,10,209,unique,unique,1,8.469,2,1,1,0,0,1,1
43,2,2,2,15,210,walking,walking,1,3.125,2,1,1,0,0,1,1
43,3,1,2,16,109,television,report,0,10.969,2,7,0,0,1,3,1
43,4,1,2,8,78,drop,drop,1,2.844,2,1,1,0,0,1,1
43,5,2,1,2,196,exist,exist,1,4.921,2,1,1,0,0,1,1
43,6,1,2,3,105,theory,theory,1,2.859,2,1,1,0,0,1,1
43,7,2,1,11,80,upper,upper,1,3.969,2,1,1,0,0,1,1
43,8,1,1,12,82,review,review,1,3.985,2,1,1,0,0,1,1
43,9,1,1,5,118,turning,turning,1,3.875,2,1,1,0,0,1,1
43,10,2,2,9,94,trust,trust,1,2.485,2,1,1,0,0,1,1
43,11,2,2,13,208,perfect,perfect,1,3.156,2,1,1,0,0,1,1
43,12,2,1,1,24,passing,no,2,7.031,2,8,0,1,0,8,1
43,13,1,2,14,13,bridge,no,2,7.984,2,8,0,1,0,8,1
43,14,1,1,4,67,traffic,traffic,1,3.391,2,1,1,0,0,1,1
43,15,2,1,6,202,trees,tree,0,3.125,2,2,1,0,0,1,1
43,16,1,1,7,154,frank,frank,1,2.891,2,1,1,0,0,1,1
44,1,1,1,8,75,camp,camp,1,4.718,2,1,1,0,0,1,1
44,2,1,2,2,65,used,no,2,15.641,2,8,0,1,0,8,1
44,3,2,2,6,95,engine,engine,1,2.406,2,1,1,0,0,1,1
44,4,1,1,5,124,individuals,individual,0,28.704,2,2,1,0,0,1,1
44,5,2,2,10,159,drawn,no,2,10.813,2,8,0,1,0,8,1
44,6,1,2,12,26,typical,average,0,5.157,2,7,0,0,1,3,1
44,7,2,1,13,77,weather,weather,1,7.843,2,1,1,0,0,1,1
44,8,2,1,1,49,trees,trees,1,6.859,2,1,1,0,0,1,1
44,9,1,2,16,110,drink,alcohol,0,12.437,2,7,0,0,1,3,1
44,10,2,1,9,81,fight,violent,0,11.438,2,7,0,0,1,3,1
44,11,1,1,4,108,upper,no,2,3.906,2,8,0,1,0,8,1
44,12,2,2,7,59,academic,academic,1,11.922,2,1,1,0,0,1,1
44,13,2,2,11,4,pair,twice,0,7.282,2,4,0,0,1,3,1
44,14,2,1,14,149,plenty,upper,0,13.406,2,4,0,0,1,3,1
44,15,1,2,3,99,noted,no,2,13.141,2,8,0,1,0,8,1
44,16,1,1,15,19,twice,twice,1,1.547,2,1,1,0,0,1,1
45,1,2,2,6,126,motion,no,2,12.047,2,8,0,1,0,8,1
45,2,1,1,2,64,boys,boy,0,3.25,2,2,1,0,0,1,1
45,3,2,1,5,96,dozen,picked,0,7.531,2,4,0,0,1,3,1
45,4,1,1,11,166,others,other,0,4.734,2,2,1,0,0,1,1
45,5,1,1,15,179,explain,no,2,4.125,2,8,0,1,0,8,1
45,6,1,2,1,4,minute,address,0,4.235,2,5,0,0,1,3,1
45,7,2,2,16,130,different,shoulder,0,3.469,2,4,0,0,1,3,1
45,8,2,1,13,123,bear,no,2,2.578,2,8,0,1,0,8,1
45,9,2,1,4,39,cultural,no,2,2.656,2,8,0,1,0,8,1
45,10,2,1,8,133,capacity,no,2,4.719,2,8,0,1,0,8,1
45,11,2,2,9,145,address,no,2,2.953,2,8,0,1,0,8,1
45,12,1,2,12,52,picked,no,2,3.516,2,8,0,1,0,8,1
45,13,2,2,7,142,serious,serious,1,6.718,2,1,1,0,0,1,1
45,14,1,2,3,82,sleep,no,2,4.875,2,8,0,1,0,8,1
45,15,1,1,10,78,shoulder,no,2,3.625,2,8,0,1,0,8,1
45,16,1,2,14,175,snow,no,2,2.454,2,8,0,1,0,8,1
46,1,1,2,10,146,somewhere,significant,0,10.734,2,4,0,0,1,3,1
46,2,2,1,6,97,struggle,hard,0,6.047,2,5,0,0,1,3,1
46,3,2,2,11,54,hard,hard,1,2.296,2,1,1,0,0,1,1
46,4,1,1,2,157,again,again,1,4.203,2,1,1,0,0,1,1
46,5,1,1,14,136,significant,idk,0,7.562,2,8,0,1,0,8,1
46,6,1,2,16,208,yellow,yellow,1,4.328,2,1,1,0,0,1,1
46,7,2,1,15,96,heart,years,0,2.718,2,4,0,0,1,3,1
46,8,1,1,8,46,years,years,1,2.313,2,1,1,0,0,1,1
46,9,2,2,12,78,increase,again,0,4.047,2,4,0,0,1,3,1
46,10,2,1,4,112,food,years,0,2.203,2,4,0,0,1,3,1
46,11,2,2,5,114,gain,idk,0,2.844,2,8,0,1,0,8,1
46,12,2,1,13,51,yesterday,idk,0,4.656,2,8,0,1,0,8,1
46,13,1,2,3,202,serve,idk,0,2.156,2,8,0,1,0,8,1
46,14,1,2,7,6,possibly,idk,0,1.765,2,8,0,1,0,8,1
46,15,1,1,9,66,sharp,sharp,1,4.766,2,1,1,0,0,1,1
46,16,2,2,1,124,picture,idk,0,2.079,2,8,0,1,0,8,1
47,1,1,1,5,160,keeping,theme,0,5.812,2,3,0,0,1,3,1
47,2,1,1,9,89,dust,dust,1,2.797,2,1,1,0,0,1,1
47,3,2,2,3,53,aside,pulled,0,3.235,2,4,0,0,1,3,1
47,4,2,2,10,146,moment,lips,0,6.469,2,6,0,0,1,3,1
47,5,1,1,11,147,pulled,dust,0,2.281,2,4,0,0,1,3,1
