"","subject","stim1","stim2","freq","type","procedure","trial","rt","source","freq_prioritem1","freq_prioritem","freq_prioritem2","freq_prioritem3","freq_consec_value","freq_consec_lab","resp","rem","fam","new","acc","duration","onset","list"
"3261",30,"bowl.pict","STRIPE","Low",NA,"study",21,693,"fake","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,2193,39852,"1"
"3262",30,"lighthouse.pict","CHILDREN","High",NA,"study",22,475,"fake","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,1975,42045,"1"
"3263",30,"cannon.pict","FLOOR","High",NA,"study",23,503,"fake","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,2003,44020,"1"
"3264",30,"earth.pict","MORNING","High",NA,"study",24,411,"fake","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1911,46023,"1"
"3265",30,"cup.pict","COLUMN","High",NA,"study",25,496,"fake","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,1996,47934,"1"
"3266",30,"stethoscope.pict","STATION","High",NA,"study",26,622,"fake","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,2122,49930,"1"
"3267",30,"pencil.pict","NAPKIN","Low",NA,"study",27,446,"fake","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,1946,52052,"1"
"3268",30,"grapes.pict","SMILE","High",NA,"study",28,586,"fake","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2086,53998,"1"
"3269",30,"dog.pict","MOISTURE","Low",NA,"study",29,457,"fake","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,1957,56084,"1"
"3270",30,"spoon.pict","PENDULUM","Low",NA,"study",30,471,"fake","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,1971,58041,"1"
"3271",30,"bottle2.pict","HUSBAND","High",NA,"study",31,496,"fake","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,1996,60012,"1"
"3272",30,"lion.pict","DRESS","High",NA,"study",32,427,"fake","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,1927,62008,"1"
"3273",30,"computer.pict","DINNER","High",NA,"study",33,426,"fake","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1926,63935,"1"
"3274",30,"muffin.pict","BOARD","High",NA,"study",34,460,"fake","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,1960,65861,"1"
"3275",30,"umbrella.pict","RESIDUE","Low",NA,"study",35,676,"fake","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,2176,67821,"1"
"3276",30,"strawberry2.pict","SPIKE","Low",NA,"study",36,450,"fake","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,1950,69997,"1"
"3277",30,"raspberry.pict","WALLET","Low",NA,"study",37,468,"fake","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,1968,71947,"1"
"3278",30,"stove.pict","MOUTH","High",NA,"study",38,482,"fake","Low","Low","Low","Low",-2.5,"Low3",NA,NA,NA,NA,NA,1982,73915,"1"
"3279",30,"stereo.pict","SCHOOL","High",NA,"study",39,547,"fake","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,2047,75897,"1"
"3280",30,"cat.pict","BOUQUET","Low",NA,"study",40,486,"fake","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1986,77944,"1"
"3281",30,"piano.pict",NA,"Low","old","test",41,1660,"fake","Low","Low",NA,NA,-0.5,"Low1","FAM",0,1,0,1,3160,379930,"1"
"3282",30,"pumpkins.pict",NA,"Low","old","test",42,1121,"fake","Low","Low","Low","Low",-3.5,"Low4","NEW",0,0,1,0,2621,383090,"1"
"3283",30,"muffin.pict",NA,"High","old","test",43,855,"fake","High","High","High","High",2.5,"High3","REM",1,0,0,1,2355,385711,"1"
"3284",30,"spoon.pict",NA,"Low","old","test",44,960,"fake","Low","Low","High","Low",-0.5,"Low1","NEW",0,0,1,0,2460,388066,"1"
"3285",30,"lemon.pict",NA,NA,"new","test",45,831,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2331,390526,"1"
"3286",30,"pencil.pict",NA,"Low","old","test",46,1294,"fake","High","High","High","High",3.5,"High4","REM",1,0,0,1,2794,392857,"1"
"3287",30,"balloons.pict",NA,NA,"new","test",47,959,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2459,395651,"1"
"3288",30,"horse.pict",NA,NA,"new","test",48,807,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2307,398110,"1"
"3289",30,"briefcase.pict",NA,"High","old","test",49,1193,"fake","High","High","High","Low",1.5,"High2","FAM",0,1,0,1,2693,400417,"1"
"3290",30,"chair2.pict",NA,NA,"new","test",50,1439,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2939,403110,"1"
"3291",30,"boots.pict",NA,NA,"new","test",51,1057,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2557,406049,"1"
"3292",30,"corn.pict",NA,"High","old","test",52,849,"fake","Low","Low","Low",NA,-1.5,"Low2","FAM",0,1,0,1,2349,408606,"1"
"3293",30,"pepper.pict",NA,"High","old","test",53,786,"fake","Low","Low","Low","Low",-3.5,"Low4","REM",1,0,0,1,2286,410955,"1"
"3294",30,"stove.pict",NA,"High","old","test",54,656,"fake","Low","Low","Low","Low",-2.5,"Low3","REM",1,0,0,1,2156,413241,"1"
"3295",30,"flower.pict",NA,NA,"new","test",55,667,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2167,415397,"1"
"3296",30,"refrigerator.pict",NA,NA,"new","test",56,1194,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2694,417564,"1"
"3297",30,"bottle2.pict",NA,"High","old","test",57,879,"fake","Low","Low","Low","High",-1.5,"Low2","REM",1,0,0,1,2379,420258,"1"
"3298",30,"baby.pict",NA,NA,"new","test",58,749,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2249,422637,"1"
"3299",30,"cat.pict",NA,"Low","old","test",59,831,"fake","High","High","High","Low",1.5,"High2","REM",1,0,0,1,2331,424886,"1"
"3300",30,"flag4.pict",NA,NA,"new","test",60,636,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2136,427217,"1"
"3301",30,"keyboard.pict",NA,NA,"new","test",61,1374,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2874,429353,"1"
"3302",30,"duck.pict",NA,"High","old","test",62,803,"fake","High","High","Low","Low",0.5,"High1","FAM",0,1,0,1,2303,432227,"1"
"3303",30,"apple.pict",NA,NA,"new","test",63,793,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2293,434530,"1"
"3304",30,"dice.pict",NA,NA,"new","test",64,611,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2111,436823,"1"
"3305",30,"watermelon.pict",NA,"High","old","test",65,862,"fake","High","High","High","Low",1.5,"High2","REM",1,0,0,1,2362,438934,"1"
"3306",30,"orange.pict",NA,NA,"new","test",66,1153,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2653,441296,"1"
"3307",30,"egg.pict",NA,NA,"new","test",67,808,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2308,443949,"1"
"3308",30,"shoes.pict",NA,"Low","old","test",68,929,"fake",NA,NA,NA,NA,NA,NA,"REM",1,0,0,1,2429,446257,"1"
"3309",30,"elephant.pict",NA,NA,"new","test",69,1056,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2556,448686,"1"
"3310",30,"scissors.pict",NA,NA,"new","test",70,926,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2426,451242,"1"
"3311",30,"umbrella.pict",NA,"Low","old","test",71,914,"fake","High","High","High","High",3.5,"High4","REM",1,0,0,1,2414,453668,"1"
"3312",30,"basketball.pict",NA,NA,"new","test",72,589,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2089,456082,"1"
"3313",30,"basket.pict",NA,NA,"new","test",73,734,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2234,458171,"1"
"3314",30,"sheep.pict",NA,NA,"new","test",74,859,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2359,460405,"1"
"3315",30,"avocado.pict",NA,NA,"new","test",75,895,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2395,462764,"1"
"3316",30,"drum2.pict",NA,"High","old","test",76,711,"fake","High","High","Low","Low",0.5,"High1","FAM",0,1,0,1,2211,465159,"1"
"3317",30,"camera.pict",NA,"Low","old","test",77,1026,"fake","Low","Low","Low","Low",-3.5,"Low4","FAM",0,1,0,1,2526,467370,"1"
"3318",30,"printer.pict",NA,NA,"new","test",78,1183,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2683,469896,"1"
"3319",30,"salad.pict",NA,"Low","old","test",79,1551,"fake","High","High","High","High",3.5,"High4","FAM",0,1,0,1,3051,472579,"1"
"3320",30,"cow.pict",NA,NA,"new","test",80,603,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2103,475630,"1"
"3321",30,"squash.pict",NA,NA,"new","test",81,684,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2184,477733,"1"
"3322",30,"strawberry2.pict",NA,"Low","old","test",82,895,"fake","Low","Low","High","High",-0.5,"Low1","FAM",0,1,0,1,2395,479917,"1"
"3323",30,"stethoscope.pict",NA,"High","old","test",83,906,"fake","High","High","High","High",3.5,"High4","REM",1,0,0,1,2406,482312,"1"
"3324",30,"guitar.pict",NA,"Low","old","test",84,702,"fake","Low","Low","High","High",-0.5,"Low1","FAM",0,1,0,1,2202,484718,"1"
"3325",30,"cup.pict",NA,"High","old","test",85,1022,"fake","High","High","High","High",2.5,"High3","FAM",0,1,0,1,2522,486920,"1"
"3326",30,"computer.pict",NA,"High","old","test",86,1457,"fake","High","High","High","Low",1.5,"High2","FAM",0,1,0,1,2957,489442,"1"
"3327",30,"raspberry.pict",NA,"Low","old","test",87,1033,"fake","Low","Low","Low","High",-1.5,"Low2","REM",1,0,0,1,2533,492399,"1"
"3328",30,"iron.pict",NA,NA,"new","test",88,706,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2206,494932,"1"
"3329",30,"cheese.pict",NA,NA,"new","test",89,783,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2283,497138,"1"
"3330",30,"mushroom.pict",NA,"Low","old","test",90,1008,"fake","Low","Low","Low","High",-1.5,"Low2","FAM",0,1,0,1,2508,499421,"1"
"3331",30,"accordion.pict",NA,NA,"new","test",91,1435,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2935,501929,"1"
"3332",30,"calculator.pict",NA,"Low","old","test",92,801,"fake","Low","Low","Low","Low",-2.5,"Low3","REM",1,0,0,1,2301,504864,"1"
"3333",30,"pineapple.pict",NA,"High","old","test",93,673,"fake","High","High","High","High",3.5,"High4","REM",1,0,0,1,2173,507165,"1"
"3334",30,"owl.pict",NA,NA,"new","test",94,684,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2184,509338,"1"
"3335",30,"knife.pict",NA,"Low","old","test",95,985,"fake","Low","Low","Low","Low",-3.5,"Low4","FAM",0,1,0,1,2485,511522,"1"
"3336",30,"binoculars.pict",NA,NA,"new","test",96,964,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2464,514007,"1"
"3337",30,"car.pict",NA,NA,"new","test",97,1260,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2760,516471,"1"
"3338",30,"bride.pict",NA,NA,"new","test",98,854,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2354,519231,"1"
"3339",30,"lighthouse.pict",NA,"High","old","test",99,1017,"fake","Low","Low","High","High",-0.5,"Low1","FAM",0,1,0,1,2517,521585,"1"
"3340",30,"stereo.pict",NA,"High","old","test",100,849,"fake","High","High","Low","Low",0.5,"High1","NEW",0,0,1,0,2349,524102,"1"
"3341",30,"sock.pict",NA,NA,"new","test",101,673,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2173,526451,"1"
"3342",30,"pot2.pict",NA,"High","old","test",102,1056,"fake","High","High","High","High",2.5,"High3","REM",1,0,0,1,2556,528624,"1"
"3343",30,"dog.pict",NA,"Low","old","test",103,1411,"fake","High","High","Low","High",0.5,"High1","FAM",0,1,0,1,2911,531180,"1"
"3344",30,"skates.pict",NA,NA,"new","test",104,814,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2314,534091,"1"
"3345",30,"grapes.pict",NA,"High","old","test",105,1700,"fake","Low","Low","High","High",-0.5,"Low1","FAM",0,1,0,1,3200,536405,"1"
"3346",30,"zebra.pict",NA,NA,"new","test",106,645,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2145,539605,"1"
"3347",30,"lion.pict",NA,"High","old","test",107,981,"fake","High","High","Low","Low",0.5,"High1","FAM",0,1,0,1,2481,541750,"1"
"3348",30,"gloves.pict",NA,"Low","old","test",108,1487,"fake","Low","Low","Low","Low",-3.5,"Low4","NEW",0,0,1,0,2987,544231,"1"
"3349",30,"tiger.pict",NA,NA,"new","test",109,939,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2439,547218,"1"
"3350",30,"butterfly.pict",NA,NA,"new","test",110,1084,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2584,549657,"1"
"3351",30,"violin.pict",NA,NA,"new","test",111,1614,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,3114,552241,"1"
"3352",30,"bike.pict",NA,NA,"new","test",112,852,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2352,555355,"1"
"3353",30,"grill.pict",NA,NA,"new","test",113,768,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2268,557707,"1"
"3354",30,"bowl.pict",NA,"Low","old","test",114,1178,"fake","High","High","High","High",2.5,"High3","REM",1,0,0,1,2678,559975,"1"
"3355",30,"tomato.pict",NA,"Low","old","test",115,1504,"fake","Low","Low","Low","Low",-3.5,"Low4","NEW",0,0,1,0,3004,562653,"1"
"3356",30,"table.pict",NA,"Low","old","test",116,849,"fake","Low","Low","Low","Low",-3.5,"Low4","FAM",0,1,0,1,2349,565657,"1"
"3357",30,"earth.pict",NA,"High","old","test",117,1027,"fake","High","High","High","Low",1.5,"High2","REM",1,0,0,1,2527,568006,"1"
"3358",30,"cannon.pict",NA,"High","old","test",118,708,"fake","High","High","Low","High",0.5,"High1","REM",1,0,0,1,2208,570533,"1"
"3359",30,"pig.pict",NA,NA,"new","test",119,704,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2204,572741,"1"
"3360",30,"bacon.pict",NA,NA,"new","test",120,696,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2196,574945,"1"
"3361",31,"pineapple.pict","BOULDER","Low",NA,"study",1,524,"fake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,0,"1"
"3362",31,"iron.pict","PARCEL","Low",NA,"study",2,517,"fake","Low","Low",NA,NA,-0.5,"Low1",NA,NA,NA,NA,NA,2017,2024,"1"
"3363",31,"flower.pict","FRAME","High",NA,"study",3,460,"fake","Low","Low","Low",NA,-1.5,"Low2",NA,NA,NA,NA,NA,1960,4041,"1"
"3364",31,"stereo.pict","HOTEL","High",NA,"study",4,439,"fake","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,1939,6001,"1"
"3365",31,"pot2.pict","RECORD","High",NA,"study",5,463,"fake","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1963,7940,"1"
"3366",31,"apple.pict","VALLEY","High",NA,"study",6,515,"fake","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,2015,9903,"1"
"3367",31,"salad.pict","COLLEGE","High",NA,"study",7,442,"fake","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,1942,11918,"1"
"3368",31,"tiger.pict","SINGER","Low",NA,"study",8,504,"fake","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,2004,13860,"1"
"3369",31,"gloves.pict","DRESS","High",NA,"study",9,506,"fake","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2006,15864,"1"
"3370",31,"elephant.pict","WHEEL","High",NA,"study",10,457,"fake","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,1957,17870,"1"
"3371",31,"basketball.pict","MAPLE","Low",NA,"study",11,514,"fake","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,2014,19827,"1"
"3372",31,"piano.pict","SCHOOL","High",NA,"study",12,602,"fake","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2102,21841,"1"
"3373",31,"stove.pict","MIXER","Low",NA,"study",13,482,"fake","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,1982,23943,"1"
"3374",31,"baby.pict","VOTER","Low",NA,"study",14,495,"fake","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,1995,25925,"1"
"3375",31,"umbrella.pict","BLOCK","High",NA,"study",15,438,"fake","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,1938,27920,"1"
"3376",31,"briefcase.pict","HOSPITAL","High",NA,"study",16,397,"fake","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,1897,29858,"1"
"3377",31,"raspberry.pict","ALLEY","Low",NA,"study",17,428,"fake","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1928,31755,"1"
"3378",31,"refrigerator.pict","DINNER","High",NA,"study",18,633,"fake","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2133,33683,"1"
"3379",31,"orange.pict","CARAVAN","Low",NA,"study",19,487,"fake","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,1987,35816,"1"
"3380",31,"cow.pict","PENDULUM","Low",NA,"study",20,557,"fake","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,2057,37803,"1"
"3381",31,"table.pict","TWEED","Low",NA,"study",21,531,"fake","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2031,39860,"1"
"3382",31,"egg.pict","RESIDUE","Low",NA,"study",22,459,"fake","Low","Low","Low","Low",-2.5,"Low3",NA,NA,NA,NA,NA,1959,41891,"1"
"3383",31,"tomato.pict","MONKEY","Low",NA,"study",23,454,"fake","Low","Low","Low","Low",-3.5,"Low4",NA,NA,NA,NA,NA,1954,43850,"1"
"3384",31,"watermelon.pict","CRUMB","Low",NA,"study",24,538,"fake","Low","Low","Low","Low",-3.5,"Low4",NA,NA,NA,NA,NA,2038,45804,"1"
"3385",31,"drum2.pict","BOUQUET","Low",NA,"study",25,487,"fake","Low","Low","Low","Low",-3.5,"Low4",NA,NA,NA,NA,NA,1987,47842,"1"
"3386",31,"owl.pict","SPRING","High",NA,"study",26,659,"fake","Low","Low","Low","Low",-3.5,"Low4",NA,NA,NA,NA,NA,2159,49829,"1"
"3387",31,"lighthouse.pict","WARRIOR","Low",NA,"study",27,444,"fake","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,1944,51988,"1"
"3388",31,"spoon.pict","WALLET","Low",NA,"study",28,467,"fake","Low","Low","High","Low",-0.5,"Low1",NA,NA,NA,NA,NA,1967,53932,"1"
"3389",31,"bowl.pict","MALARIA","Low",NA,"study",29,660,"fake","Low","Low","Low","High",-1.5,"Low2",NA,NA,NA,NA,NA,2160,55899,"1"
"3390",31,"earth.pict","MORNING","High",NA,"study",30,465,"fake","Low","Low","Low","Low",-2.5,"Low3",NA,NA,NA,NA,NA,1965,58059,"1"
"3391",31,"basket.pict","HUSBAND","High",NA,"study",31,527,"fake","High","High","Low","Low",0.5,"High1",NA,NA,NA,NA,NA,2027,60024,"1"
"3392",31,"zebra.pict","NOZZLE","Low",NA,"study",32,487,"fake","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1987,62051,"1"
"3393",31,"duck.pict","CHILDREN","High",NA,"study",33,442,"fake","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,1942,64038,"1"
"3394",31,"avocado.pict","RAILROAD","High",NA,"study",34,423,"fake","High","High","Low","High",0.5,"High1",NA,NA,NA,NA,NA,1923,65980,"1"
"3395",31,"pencil.pict","COURT","High",NA,"study",35,448,"fake","High","High","High","Low",1.5,"High2",NA,NA,NA,NA,NA,1948,67903,"1"
"3396",31,"stethoscope.pict","MARKET","High",NA,"study",36,472,"fake","High","High","High","High",2.5,"High3",NA,NA,NA,NA,NA,1972,69851,"1"
"3397",31,"shoes.pict","OFFICE","High",NA,"study",37,402,"fake","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,1902,71823,"1"
"3398",31,"bike.pict","AUDIENCE","High",NA,"study",38,487,"fake","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,1987,73725,"1"
"3399",31,"car.pict","MINSTREL","Low",NA,"study",39,552,"fake","High","High","High","High",3.5,"High4",NA,NA,NA,NA,NA,2052,75712,"1"
"3400",31,"sock.pict","SATIN","Low",NA,"study",40,558,"fake","Low","Low","High","High",-0.5,"Low1",NA,NA,NA,NA,NA,2058,77764,"1"
"3401",31,"flower.pict",NA,"High","old","test",41,988,"fake","Low","Low","Low",NA,-1.5,"Low2","FAM",0,1,0,1,2488,379822,"1"
"3402",31,"bride.pict",NA,NA,"new","test",42,977,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2477,382310,"1"
"3403",31,"binoculars.pict",NA,NA,"new","test",43,762,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2262,384787,"1"
"3404",31,"stove.pict",NA,"Low","old","test",44,667,"fake","High","High","Low","High",0.5,"High1","REM",1,0,0,1,2167,387049,"1"
"3405",31,"grill.pict",NA,NA,"new","test",45,926,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2426,389216,"1"
"3406",31,"muffin.pict",NA,NA,"new","test",46,738,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2238,391642,"1"
"3407",31,"squash.pict",NA,NA,"new","test",47,733,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2233,393880,"1"
"3408",31,"elephant.pict",NA,"High","old","test",48,647,"fake","High","High","Low","High",0.5,"High1","NEW",0,0,1,0,2147,396113,"1"
"3409",31,"baby.pict",NA,"Low","old","test",49,975,"fake","Low","Low","High","Low",-0.5,"Low1","FAM",0,1,0,1,2475,398260,"1"
"3410",31,"pepper.pict",NA,NA,"new","test",50,837,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2337,400735,"1"
"3411",31,"cow.pict",NA,"Low","old","test",51,1014,"fake","Low","Low","High","Low",-0.5,"Low1","NEW",0,0,1,0,2514,403072,"1"
"3412",31,"earth.pict",NA,"High","old","test",52,787,"fake","Low","Low","Low","Low",-2.5,"Low3","REM",1,0,0,1,2287,405586,"1"
"3413",31,"pig.pict",NA,NA,"new","test",53,978,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2478,407873,"1"
"3414",31,"lighthouse.pict",NA,"Low","old","test",54,1178,"fake","High","High","Low","Low",0.5,"High1","FAM",0,1,0,1,2678,410351,"1"
"3415",31,"accordion.pict",NA,NA,"new","test",55,778,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2278,413029,"1"
"3416",31,"sock.pict",NA,"Low","old","test",56,695,"fake","Low","Low","High","High",-0.5,"Low1","REM",1,0,0,1,2195,415307,"1"
"3417",31,"computer.pict",NA,NA,"new","test",57,1060,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2560,417502,"1"
"3418",31,"chair2.pict",NA,NA,"new","test",58,867,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2367,420062,"1"
"3419",31,"tomato.pict",NA,"Low","old","test",59,740,"fake","Low","Low","Low","Low",-3.5,"Low4","REM",1,0,0,1,2240,422429,"1"
"3420",31,"egg.pict",NA,"Low","old","test",60,610,"fake","Low","Low","Low","Low",-2.5,"Low3","REM",1,0,0,1,2110,424669,"1"
"3421",31,"flag4.pict",NA,NA,"new","test",61,894,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2394,426779,"1"
"3422",31,"butterfly.pict",NA,NA,"new","test",62,1051,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2551,429173,"1"
"3423",31,"bottle2.pict",NA,NA,"new","test",63,1002,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2502,431724,"1"
"3424",31,"corn.pict",NA,NA,"new","test",64,1114,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2614,434226,"1"
"3425",31,"duck.pict",NA,"High","old","test",65,674,"fake","Low","Low","High","High",-0.5,"Low1","REM",1,0,0,1,2174,436840,"1"
"3426",31,"boots.pict",NA,NA,"new","test",66,843,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2343,439014,"1"
"3427",31,"bacon.pict",NA,NA,"new","test",67,750,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2250,441357,"1"
"3428",31,"horse.pict",NA,NA,"new","test",68,826,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2326,443607,"1"
"3429",31,"umbrella.pict",NA,"High","old","test",69,856,"fake","Low","Low","Low","High",-1.5,"Low2","FAM",0,1,0,1,2356,445933,"1"
"3430",31,"orange.pict",NA,"Low","old","test",70,981,"fake","High","High","Low","High",0.5,"High1","FAM",0,1,0,1,2481,448289,"1"
"3431",31,"lemon.pict",NA,NA,"new","test",71,1412,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2912,450770,"1"
"3432",31,"raspberry.pict",NA,"Low","old","test",72,852,"fake","High","High","High","Low",1.5,"High2","NEW",0,0,1,0,2352,453682,"1"
"3433",31,"dog.pict",NA,NA,"new","test",73,813,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2313,456034,"1"
"3434",31,"cup.pict",NA,NA,"new","test",74,576,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2076,458347,"1"
"3435",31,"gloves.pict",NA,"High","old","test",75,796,"fake","Low","Low","High","High",-0.5,"Low1","REM",1,0,0,1,2296,460423,"1"
"3436",31,"keyboard.pict",NA,NA,"new","test",76,1035,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2535,462719,"1"
"3437",31,"lion.pict",NA,NA,"new","test",77,860,NA,NA,NA,NA,NA,NA,NA,"FAM",0,1,0,0,2360,465254,"1"
"3438",31,"pencil.pict",NA,"High","old","test",78,1369,"fake","High","High","High","Low",1.5,"High2","FAM",0,1,0,1,2869,467614,"1"
"3439",31,"sheep.pict",NA,NA,"new","test",79,1023,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2523,470483,"1"
"3440",31,"stereo.pict",NA,"High","old","test",80,682,"fake","High","High","Low","Low",0.5,"High1","REM",1,0,0,1,2182,473006,"1"
"3441",31,"car.pict",NA,"Low","old","test",81,1016,"fake","High","High","High","High",3.5,"High4","NEW",0,0,1,0,2516,475188,"1"
"3442",31,"zebra.pict",NA,"Low","old","test",82,1589,"fake","High","High","High","Low",1.5,"High2","NEW",0,0,1,0,3089,477704,"1"
"3443",31,"stethoscope.pict",NA,"High","old","test",83,905,"fake","High","High","High","High",2.5,"High3","REM",1,0,0,1,2405,480793,"1"
"3444",31,"knife.pict",NA,NA,"new","test",84,831,NA,NA,NA,NA,NA,NA,NA,"NEW",0,0,1,1,2331,483198,"1"
